duid,district,lon,lat,height_m,storeys,current_name,proposed_name,grade,name_source,agreeing_sources,confidence,match_distance_m,inside_footprint,method,developer,project,changed
DXB-SAMAAL-f1c1874aa9,samaaljadaf,55.324181,25.219943,47.6,14,,Relmira Spa & Massage Dubai,MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (spa),,,True
DXB-SAMAAL-268e3603ab,samaaljadaf,55.32264,25.220817,40.8,12,,بناية بيت الصفاء (الرستماني),MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (apartment_building),,,False
DXB-SAMAAL-c5e44c9078,samaaljadaf,55.325205,25.220755,44.2,13,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-ce24fd11bb,samaaljadaf,55.324823,25.220094,44.2,13,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-4c0a0a8cab,samaaljadaf,55.326761,25.215816,47.6,14,Al Khayyal 141 Building,Al Khayyal 141 Building,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-54a5f4bfcf,samaaljadaf,55.326033,25.21433,54.4,16,Rose Building Jaddaf,Rose Building Jaddaf,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-a2abf83eb3,samaaljadaf,55.334757,25.224087,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-1b10c30601,samaaljadaf,55.334912,25.224332,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-1615dd013c,samaaljadaf,55.318102,25.21266,37.4,11,,Dr. Marwa Yahfouf,MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (doctor),,,True
DXB-SAMAAL-69e71e0357,samaaljadaf,55.318864,25.211939,54.4,16,Al Waleed Garden,Al Waleed Garden,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-441f36eb76,samaaljadaf,55.319696,25.213016,57.8,17,Azizi Aliyah,Azizi Aliyah,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-3ed0a2325a,samaaljadaf,55.33144,25.208745,11.0,3,Sports Building,Sports Building,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-ca2b79fbe9,samaaljadaf,55.329729,25.209484,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-f963656adf,samaaljadaf,55.329744,25.209428,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-03f6b53a26,samaaljadaf,55.329828,25.20935,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-b94fe7f685,samaaljadaf,55.330208,25.209533,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-2f3a34fd00,samaaljadaf,55.330226,25.209476,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-98f23c3ea8,samaaljadaf,55.330309,25.209391,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-145f797ac2,samaaljadaf,55.330716,25.209469,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-f77d0cae02,samaaljadaf,55.330823,25.209408,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-5a207e3de8,samaaljadaf,55.330834,25.20934,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-15cf59e8c0,samaaljadaf,55.332935,25.208211,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-c2c4bf5952,samaaljadaf,55.331964,25.208205,17.0,5,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-74f46fb51d,samaaljadaf,55.332036,25.208969,17.0,5,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-fe4de552e6,samaaljadaf,55.314356,25.210807,44.2,13,Residence Inn by Marriott Al Jaddaf,Residence Inn by Marriott Al Jaddaf,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-ca8c7bf783,samaaljadaf,55.315328,25.214095,6.4,2,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-d1e43303e1,samaaljadaf,55.31518,25.214402,10.2,3,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-0e66d525c7,samaaljadaf,55.315885,25.214292,37.4,11,SAS A,SAS A,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-9477e2882e,samaaljadaf,55.315775,25.213844,3.2,1,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-fe0fdef4cc,samaaljadaf,55.315107,25.213812,10.2,3,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-e468bdaec0,samaaljadaf,55.315721,25.213676,37.4,11,SAS B,SAS B,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-20aa88937b,samaaljadaf,55.339947,25.228785,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-23448d52dd,samaaljadaf,55.339454,25.227085,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-d988545fde,samaaljadaf,55.339174,25.22736,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-e0a7bd1f03,samaaljadaf,55.339325,25.228549,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-0fc815e485,samaaljadaf,55.340445,25.227851,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-10da5bcf02,samaaljadaf,55.33817,25.226825,27.2,8,Intercity Hotel Dubai Jaddaf Waterfront,Intercity Hotel Dubai Jaddaf Waterfront,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-1c1a81275f,samaaljadaf,55.340831,25.226409,30.6,9,ameeras building,ameeras building,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-f3f10f5fe1,samaaljadaf,55.334204,25.223053,51.0,15,Emerald Jadaf Metro,Emerald Jadaf Metro,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-6b5bb607e9,samaaljadaf,55.328791,25.219972,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-8753f330d3,samaaljadaf,55.32854,25.223151,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-1f3c59cb82,samaaljadaf,55.32864,25.223042,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-c130e96efb,samaaljadaf,55.328662,25.222953,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-226ea1f080,samaaljadaf,55.328727,25.222948,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-f38b84f4a7,samaaljadaf,55.335861,25.223132,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
